NACA 2412
     1.000000    0.087946
     0.990441    0.088770
     0.972676    0.090136
     0.953873    0.091393
     0.934925    0.092495
     0.915930    0.093459
     0.896893    0.094306
     0.877827    0.095059
     0.858743    0.095731
     0.839645    0.096331
     0.820538    0.096864
     0.801423    0.097335
     0.782304    0.097746
     0.763180    0.098101
     0.744053    0.098401
     0.724923    0.098648
     0.705792    0.098842
     0.686659    0.098985
     0.667526    0.099076
     0.648392    0.099116
     0.629259    0.099104
     0.610126    0.099041
     0.590995    0.098926
     0.571865    0.098757
     0.552737    0.098536
     0.533612    0.098258
     0.514490    0.097925
     0.495371    0.097533
     0.476257    0.097082
     0.457148    0.096568
     0.438045    0.095989
     0.418948    0.095342
     0.399859    0.094625
     0.380780    0.093832
     0.361710    0.092960
     0.342652    0.092004
     0.323608    0.090958
     0.304581    0.089815
     0.285572    0.088567
     0.266586    0.087206
     0.247627    0.085720
     0.228700    0.084097
     0.209812    0.082322
     0.190974    0.080376
     0.172198    0.078236
     0.153502    0.075873
     0.134921    0.073253
     0.116566    0.070320
     0.098543    0.066942
     0.081023    0.062986
     0.064393    0.058292
     0.049343    0.052655
     0.036567    0.045671
     0.025678    0.036178
     0.015164    0.024666
     0.007760    0.016039
     0.003822    0.010546
     0.001727    0.006769
     0.000529    0.003892
     0.000126    0.001412
     0.000056   -0.000699
     0.000347   -0.002925
     0.001542   -0.005052
     0.003506   -0.007230
     0.006797   -0.009167
     0.011828   -0.010477
     0.019238   -0.010475
     0.029722   -0.008569
     0.042760   -0.008351
     0.058867   -0.010506
     0.077087   -0.013603
     0.095835   -0.016827
     0.114582   -0.019930
     0.133314   -0.022875
     0.152044   -0.025623
     0.170833   -0.028193
     0.189677   -0.030612
     0.208565   -0.032900
     0.227490   -0.035074
     0.246445   -0.037148
     0.265425   -0.039133
     0.284427   -0.041038
     0.303447   -0.042872
     0.322483   -0.044641
     0.341532   -0.046352
     0.360593   -0.048011
     0.379665   -0.049620
     0.398746   -0.051186
     0.417836   -0.052710
     0.436933   -0.054198
     0.456037   -0.055651
     0.475147   -0.057073
     0.494262   -0.058465
     0.513382   -0.059830
     0.532507   -0.061171
     0.551636   -0.062488
     0.570768   -0.063783
     0.589904   -0.065058
     0.609044   -0.066315
     0.628186   -0.067554
     0.647331   -0.068777
     0.666478   -0.069986
     0.685627   -0.071180
     0.704779   -0.072360
     0.723931   -0.073528
     0.743086   -0.074684
     0.762241   -0.075828
     0.781397   -0.076960
     0.800553   -0.078081
     0.819709   -0.079188
     0.838863   -0.080282
     0.858013   -0.081360
     0.877159   -0.082418
     0.896294   -0.083451
     0.915410   -0.084446
     0.934499   -0.085385
     0.953557   -0.086247
     0.972488   -0.087009
     0.990386   -0.087617
     1.000000   -0.087890
